from,to,relation,weight,type
BeBr,SaRi,ally,1,member
BeBr,BePr,ally,1,member
BeBr,AnDC,ally,1,member
BeBr,GiSc,ally,1,member
BeBr,RoRi,ally,1,member
BeBr,FrCM,ally,1,member
BeBr,MiGr,ally,1,member
BeBr,GiGr,ally,1,member
GiBr,BeBr,family,2,member
GiBr,BePr,ally,1,member
GiBr,SaRi,ally,1,member
GiBr,IgSa,conflict,NA,member
S,IgSa,family,1,clan
IgSa,S,family,1,clan
IgSa,ToBu,ally,1,member
IgSa,MiGr,ally,1,member
MdV,MaAg,family,1,clan
MaAg,MdV,family,1,clan
MaAg,BeSa,ally,1,member
MaAg,SaRi,ally,1,member
MaAg,BePr,ally,1,member
MaAg,AnDC,ally,1,member
MaAg,GiSc,ally,1,member
MaAg,RoRi,ally,1,member
MaAg,FrCM,ally,1,member
MaAg,MiGr,ally,1,member
MaAg,GiGr,ally,1,member
